Year,OilProductionInTWh,BarrelsDayEquiv
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,0,0
1907,99.48302,58519423.12
1907,0,0
1907,0,0
1907,257.55798,151504693.1
1907,115.78828,68110752.46
1907,0,0
1907,414.90024,244058963
1907,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0.02326,13682.35285
1908,27.551472,16206748.12
1908,27.55147,16206746.95
1908,0,0
1908,0.02326,13682.35285
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0.8141,478882.3496
1908,1.48864,875670.5821
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,34.99467,20585099.86
1908,0,0
1908,0,0
1908,100.33201,59018829
1908,135.32668,79603928.85
1908,34.99467,20585099.86
1908,34.994667,20585098.09
1908,0,0
1908,0,0
1908,1.63983,964605.8756
1908,0,0
1908,0,0
1908,0,0
1908,302.6126,178007410.5
1908,0.02326,13682.35285
1908,7.82699,4604111.732
1908,16.5146,9714470.52
1908,0,0
1908,0,0
1908,0,0
1908,0.08141,47888.23496
1908,3.20988,1888164.693
1908,0,0
1908,0,0
1908,0,0
1908,24.34159,14318582.25
1908,0,0
1908,6.5128,3831058.797
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,284.16742,167157304.7
1908,284.16742,167157304.7
1908,0,0
1908,309.1254,181838469.3
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,1.46538,861988.2293
1908,0,0
1908,19.98034,11753141.09
1908,0,0
1908,13.24657,7792099.945
1908,0,0
1908,1.48864,875670.5821
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,0,0
1908,100.33201,59018829
1908,0,0
1908,0,0
1908,276.8405,162847351.8
1908,121.58002,71517658.32
1908,0,0
1908,448.5342,263843645.2
1908,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0.03489,20523.52927
1909,31.19166,18348035.17
1909,31.19166,18348035.17
1909,0,0
1909,0.02326,13682.35285
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0.65128,383105.8797
1909,2.31437,1361394.108
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,0,0
1909,41.7517,24559823.36
1909,0,0
1909,0,0
1909,106.71688,62774634.85
1909,148.46858,87334458.21
1909,41.7517,24559823.36
1909,41.7517,24559823.36
1909,0,0
1909,0,0
1909,1.59331,937241.1699
1909,0,0
1909,0,0
1909,0,0
1909,313.88208,184636516.4
1909,0.03489,20523.52927
1909,10.3507,6088647.016
1909,17.72412,10425952.87
1909,0,0
1909,0,0
1909,0,0
1909,0.06978,41047.05854
